Outputting to ../data/logout.400pktps.10ms.254rwnd


2763678.182519 4786831.027892 -4165161.775235
2763678.182519 4786831.027892 -4165161.775235
2763678.182519 4786831.027892 -4165161.775235
2763678.182519 4786831.027892 -4165161.775235
2763678.182519 4786831.027892 -4165161.775235
2763678.182519 4786831.027892 -4165161.775235
2763678.182519 4786831.027892 -4165161.775235
2763678.182519 4786831.027892 -4165161.775235
2763678.182519 4786831.027892 -4165161.775235
2763678.182519 4786831.027892 -4165161.775235
2763678.182519 4786831.027892 -4165161.775235
2763678.182519 4786831.027892 -4165161.775235
2763678.182519 4786831.027892 -4165161.775235
2763678.182519 4786831.027892 -4165161.775235
2763678.182519 4786831.027892 -4165161.775235
2763678.182519 4786831.027892 -4165161.775235
2763678.182519 4786831.027892 -4165161.775235
2763678.182519 4786831.027892 -4165161.775235
2763678.182519 4786831.027892 -4165161.775235
2763678.182519 4786831.027892 -4165161.775235
2763678.182519 4786831.027892 -4165161.775235
2763678.182519 4786831.027892 -4165161.775235
2763678.182519 4786831.027892 -4165161.775235
2763678.182519 4786831.027892 -4165161.775235
2763678.182519 4786831.027892 -4165161.775235
2763678.182519 4786831.027892 -4165161.775235
2763678.182519 4786831.027892 -4165161.775235
2763678.182519 4786831.027892 -4165161.775235
2763678.182519 4786831.027892 -4165161.775235
2763678.182519 4786831.027892 -4165161.775235
2763678.182519 4786831.027892 -4165161.775235
2763678.182519 4786831.027892 -4165161.775235
2763678.182519 4786831.027892 -4165161.775235
2763678.182519 4786831.027892 -4165161.775235
2763678.182519 4786831.027892 -4165161.775235
2763678.182519 4786831.027892 -4165161.775235
2763678.182519 4786831.027892 -4165161.775235
2763678.182519 4786831.027892 -4165161.775235
2763678.182519 4786831.027892 -4165161.775235
2763678.182519 4786831.027892 -4165161.775235
2763678.182519 4786831.027892 -4165161.775235
2763678.182519 4786831.027892 -4165161.775235
2763678.182519 4786831.027892 -4165161.775235
2763678.182519 4786831.027892 -4165161.775235
2763678.182519 4786831.027892 -4165161.775235
2763678.182519 4786831.027892 -4165161.775235
2763678.182519 4786831.027892 -4165161.775235
2763678.182519 4786831.027892 -4165161.775235
2763678.182519 4786831.027892 -4165161.775235
2763678.182519 4786831.027892 -4165161.775235
2763678.182519 4786831.027892 -4165161.775235
2763678.182519 4786831.027892 -4165161.775235
2763678.182519 4786831.027892 -4165161.775235
2763678.182519 4786831.027892 -4165161.775235
2763678.182519 4786831.027892 -4165161.775235
2763678.182519 4786831.027892 -4165161.775235
2763678.182519 4786831.027892 -4165161.775235
2763678.182519 4786831.027892 -4165161.775235
2763678.182519 4786831.027892 -4165161.775235
2763678.182519 4786831.027892 -4165161.775235
2763678.182519 4786831.027892 -4165161.775235
2763678.182519 4786831.027892 -4165161.775235
2763678.182519 4786831.027892 -4165161.775235
2763678.182519 4786831.027892 -4165161.775235
2763678.182519 4786831.027892 -4165161.775235
2763678.182519 4786831.027892 -4165161.775235


1430585.096340 5339016.264093 -4165161.775235
1430585.096340 5339016.264093 -4165161.775235
1430585.096340 5339016.264093 -4165161.775235
1430585.096340 5339016.264093 -4165161.775235
1430585.096340 5339016.264093 -4165161.775235
1430585.096340 5339016.264093 -4165161.775235
1430585.096340 5339016.264093 -4165161.775235
1430585.096340 5339016.264093 -4165161.775235
1430585.096340 5339016.264093 -4165161.775235
1430585.096340 5339016.264093 -4165161.775235
1430585.096340 5339016.264093 -4165161.775235
1430585.096340 5339016.264093 -4165161.775235
1430585.096340 5339016.264093 -4165161.775235
1430585.096340 5339016.264093 -4165161.775235
1430585.096340 5339016.264093 -4165161.775235
1430585.096340 5339016.264093 -4165161.775235
1430585.096340 5339016.264093 -4165161.775235
1430585.096340 5339016.264093 -4165161.775235
1430585.096340 5339016.264093 -4165161.775235
1430585.096340 5339016.264093 -4165161.775235
1430585.096340 5339016.264093 -4165161.775235
1430585.096340 5339016.264093 -4165161.775235
1430585.096340 5339016.264093 -4165161.775235
1430585.096340 5339016.264093 -4165161.775235
1430585.096340 5339016.264093 -4165161.775235
1430585.096340 5339016.264093 -4165161.775235
1430585.096340 5339016.264093 -4165161.775235
1430585.096340 5339016.264093 -4165161.775235
1430585.096340 5339016.264093 -4165161.775235
1430585.096340 5339016.264093 -4165161.775235
1430585.096340 5339016.264093 -4165161.775235
1430585.096340 5339016.264093 -4165161.775235
1430585.096340 5339016.264093 -4165161.775235
1430585.096340 5339016.264093 -4165161.775235
1430585.096340 5339016.264093 -4165161.775235
1430585.096340 5339016.264093 -4165161.775235
1430585.096340 5339016.264093 -4165161.775235
1430585.096340 5339016.264093 -4165161.775235
1430585.096340 5339016.264093 -4165161.775235
1430585.096340 5339016.264093 -4165161.775235
1430585.096340 5339016.264093 -4165161.775235
1430585.096340 5339016.264093 -4165161.775235
1430585.096340 5339016.264093 -4165161.775235
1430585.096340 5339016.264093 -4165161.775235
1430585.096340 5339016.264093 -4165161.775235
1430585.096340 5339016.264093 -4165161.775235
1430585.096340 5339016.264093 -4165161.775235
1430585.096340 5339016.264093 -4165161.775235
1430585.096340 5339016.264093 -4165161.775235
1430585.096340 5339016.264093 -4165161.775235
1430585.096340 5339016.264093 -4165161.775235
